,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
2651,112900,47.0,2,2402.13,Centru-Civic,Clasic (1977-2000),Nespecificat
2652,114900,58.0,2,1981.03,Nicolina-CUG,Clasic (1977-2000),Decomandat
2654,104500,71.0,3,1471.83,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2660,135000,55.0,2,2454.55,Centru-Civic,Clasic (1977-2000),Nespecificat
2663,74900,42.0,2,1783.33,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
2664,92500,52.0,2,1778.85,Galata-Frumoasa,Nou (Post-2000),Decomandat
2683,63000,35.0,1,1800.0,Tatarasi-Tudor,Nou (Post-2000),Decomandat
2684,110000,50.0,2,2200.0,Nicolina-CUG,Nou (Post-2000),Decomandat
2687,115000,58.0,2,1982.76,Centru-Civic,Clasic (1977-2000),Decomandat
2703,64500,38.64,1,1669.25,Bucium,Nou (Post-2000),Nespecificat
2705,79900,50.0,1,1598.0,Copou-Saras,Nou (Post-2000),Decomandat
2706,125000,57.87,2,2160.01,Centru-Civic,Clasic (1977-2000),Nespecificat
2708,132000,74.0,3,1783.78,Nicolina-CUG,Clasic (1977-2000),Decomandat
2711,63000,32.0,1,1968.75,Galata-Frumoasa,Vechi (Pre-1977),Decomandat
2713,140000,76.75,3,1824.1,Nicolina-CUG,Clasic (1977-2000),Nespecificat
2730,64500,32.0,1,2015.62,Galata-Frumoasa,Nou (Post-2000),Decomandat
2731,78000,40.0,2,1950.0,Galata-Frumoasa,Vechi (Pre-1977),Nespecificat
2735,110000,60.0,3,1833.33,Podu-Ros-Cantemir,Vechi (Pre-1977),Nespecificat
2736,100000,60.0,3,1666.67,Podu-Ros-Cantemir,Vechi (Pre-1977),Nespecificat
2744,85000,54.0,2,1574.07,Alexandru-Dacia,Clasic (1977-2000),Decomandat
2746,74900,38.0,2,1971.05,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
2755,104000,58.0,3,1793.1,Pacurari-Canta,Nou (Post-2000),Nespecificat
2759,112000,67.0,3,1671.64,Nicolina-CUG,Clasic (1977-2000),Decomandat
2763,99000,60.0,2,1650.0,Bucium,Nou (Post-2000),Decomandat
2769,115900,58.0,2,1998.28,Pacurari-Canta,Clasic (1977-2000),Nespecificat
2785,81020,40.51,1,2000.0,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat
2797,109150,59.0,2,1850.0,Galata-Frumoasa,Nou (Post-2000),Decomandat
2813,97000,78.0,3,1243.59,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2832,117000,60.0,2,1950.0,Periferie-Metropolitana,Vechi (Pre-1977),Decomandat
2834,148000,80.0,3,1850.0,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
2837,115000,68.0,3,1691.18,Nicolina-CUG,Clasic (1977-2000),Decomandat
2843,146000,60.0,2,2433.33,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat
2845,120000,61.0,2,1967.21,Pacurari-Canta,Vechi (Pre-1977),Nespecificat
2846,114900,72.0,3,1595.83,Periferie-Metropolitana,Nou (Post-2000),Nespecificat
2857,128000,58.0,2,2206.9,Periferie-Metropolitana,Nou (Post-2000),Decomandat
2875,97500,52.0,2,1875.0,Nicolina-CUG,Clasic (1977-2000),Decomandat
2882,130000,55.0,2,2363.64,Centru-Civic,Nou (Post-2000),Nespecificat
2890,103600,56.0,2,1850.0,Galata-Frumoasa,Nou (Post-2000),Decomandat
2892,123000,70.0,3,1757.14,Galata-Frumoasa,Clasic (1977-2000),Decomandat
2895,138500,60.0,3,2308.33,Nicolina-CUG,Nou (Post-2000),Nespecificat
2896,110000,50.0,2,2200.0,Galata-Frumoasa,Nou (Post-2000),Decomandat
2899,175000,70.0,3,2500.0,Copou-Saras,Vechi (Pre-1977),Decomandat
2901,112900,57.0,2,1980.7,Tatarasi-Tudor,Clasic (1977-2000),Nespecificat
2910,125500,75.0,3,1673.33,Nicolina-CUG,Clasic (1977-2000),Decomandat
2922,59000,35.0,1,1685.71,Nicolina-CUG,Clasic (1977-2000),Decomandat
2923,127000,74.0,3,1716.22,Nicolina-CUG,Clasic (1977-2000),Nespecificat
